cross_group,cross_bin,hit,hit_count,source_tests,evidence_window
csr_form_source,csrrsi_zero,1,1,csr_state_matrix,same scenario transaction/retirement window
csr_form_source,csrrci_zero,1,1,csr_state_matrix,same scenario transaction/retirement window
trap_side_effect,illegal_suppressed,1,4,apb_wait_trap;isa_matrix;rv32_decode_legality_matrix;csr_illegal_mask_alignment_matrix,same scenario transaction/retirement window
trap_side_effect,ecall_suppressed,1,3,isa_matrix;irq_trap_priority_matrix;irq_level_mret_matrix,same scenario transaction/retirement window
trap_side_effect,load_misaligned_suppressed,1,3,apb_wait_trap;isa_matrix;apb_access_legality_matrix,same scenario transaction/retirement window
trap_side_effect,store_misaligned_suppressed,1,2,isa_matrix;apb_access_legality_matrix,same scenario transaction/retirement window
trap_side_effect,load_fault_suppressed,1,5,apb_wait_trap;isa_matrix;apb_access_legality_matrix;rv32_sram_boundary_fault_matrix;apb_atomicity_wait_error_matrix,same scenario transaction/retirement window
trap_side_effect,store_fault_suppressed,1,4,isa_matrix;apb_access_legality_matrix;rv32_sram_boundary_fault_matrix;apb_atomicity_wait_error_matrix,same scenario transaction/retirement window
apb_wait_response,read_zero_ok,1,17,polling_dma;interrupt_dma;back_to_back;queue_full_recovery;timeout_handler;parity_error;invalid_source;sleep_resume;interrupt_before_after_retire;interrupt_mask_pending_enable;apb_wait_depth_matrix;dma_length_bank_matrix;dma_completion_pressure_irq;dma_tag_reuse_recovery;power_active_dma_matrix;power_completion_pending_matrix;firmware_completion_mode_error_power_matrix,same scenario transaction/retirement window
apb_wait_response,write_zero_ok,1,20,polling_dma;interrupt_dma;back_to_back;queue_full_recovery;timeout_handler;parity_error;invalid_source;sleep_resume;interrupt_before_after_retire;interrupt_mask_pending_enable;apb_wait_depth_matrix;dma_length_bank_matrix;dma_completion_pressure_irq;dma_tag_reuse_recovery;power_active_dma_matrix;power_completion_pending_matrix;irq_trap_priority_matrix;irq_level_mret_matrix;reset_irq_handler_matrix;firmware_completion_mode_error_power_matrix,same scenario transaction/retirement window
apb_wait_response,read_one_ok,1,1,apb_wait_depth_matrix,same scenario transaction/retirement window
apb_wait_response,write_one_ok,1,1,apb_wait_depth_matrix,same scenario transaction/retirement window
apb_wait_response,read_2_3_ok,1,4,apb_wait_trap;reset_mid_wait;apb_wait_depth_matrix;apb_reset_phase_matrix,same scenario transaction/retirement window
apb_wait_response,write_2_3_ok,1,4,apb_wait_trap;reset_mid_wait;apb_wait_depth_matrix;apb_reset_phase_matrix,same scenario transaction/retirement window
apb_wait_response,read_4plus_error,1,1,apb_atomicity_wait_error_matrix,same scenario transaction/retirement window
apb_wait_response,write_4plus_error,1,1,apb_atomicity_wait_error_matrix,same scenario transaction/retirement window
dma_length_queue_bank,len2_q1_even_even,1,4,queue_full_recovery;dma_length_bank_matrix;dma_completion_pressure_irq;dma_tag_reuse_recovery,same scenario transaction/retirement window
dma_length_queue_bank,len4_q2_odd_odd,1,1,dma_length_bank_matrix,same scenario transaction/retirement window
dma_length_queue_bank,len8_q3_even_odd,1,1,dma_length_bank_matrix,same scenario transaction/retirement window
dma_length_queue_bank,len16_q4_odd_even,1,1,dma_length_bank_matrix,same scenario transaction/retirement window
dma_length_queue_bank,completion_full_irq,1,1,dma_completion_pressure_irq,same scenario transaction/retirement window
dma_length_queue_bank,tag_reuse_after_pop,1,1,dma_tag_reuse_recovery,same scenario transaction/retirement window
completion_power,poll_run_success,1,8,polling_dma;back_to_back;queue_full_recovery;sleep_resume;reset_mid_wait;apb_reset_phase_matrix;dma_length_bank_matrix;dma_tag_reuse_recovery,same scenario transaction/retirement window
completion_power,irq_run_success,1,8,interrupt_dma;interrupt_before_after_retire;interrupt_during_apb_wait;interrupt_mask_pending_enable;dma_completion_pressure_irq;power_active_dma_matrix;power_completion_pending_matrix;firmware_completion_mode_error_power_matrix,same scenario transaction/retirement window
completion_power,poll_run_timeout,1,4,queue_full_recovery;timeout_handler;dma_length_bank_matrix;dma_tag_reuse_recovery,same scenario transaction/retirement window
completion_power,poll_run_parity,1,1,parity_error,same scenario transaction/retirement window
completion_power,poll_deep_invalid,1,1,invalid_source,same scenario transaction/retirement window
completion_power,poll_sleep_resume,1,1,sleep_resume,same scenario transaction/retirement window
completion_power,irq_sleep_active,1,1,power_active_dma_matrix,same scenario transaction/retirement window
completion_power,irq_sleep_pending,1,1,power_completion_pending_matrix,same scenario transaction/retirement window
c_runtime_access,data_load,1,1,c_initialized_data_sections,same scenario transaction/retirement window
c_runtime_access,rodata_byte,1,1,c_initialized_data_sections,same scenario transaction/retirement window
c_runtime_access,bss_zero,1,1,c_initialized_data_sections,same scenario transaction/retirement window
c_runtime_access,stack_rw,1,1,c_abi_stack_call_matrix,same scenario transaction/retirement window
c_runtime_access,nested_call,1,1,c_abi_stack_call_matrix,same scenario transaction/retirement window
c_runtime_access,callee_saved,1,1,c_abi_stack_call_matrix,same scenario transaction/retirement window
c_runtime_access,indirect_jalr,1,1,c_abi_stack_call_matrix,same scenario transaction/retirement window
c_runtime_access,struct_partial,1,1,c_initialized_data_sections,same scenario transaction/retirement window
control_fault,jal_link,1,1,rv32_control_flow_boundary_matrix,same scenario transaction/retirement window
control_fault,jalr_link,1,35,polling_dma;interrupt_dma;back_to_back;queue_full_recovery;timeout_handler;parity_error;invalid_source;sleep_resume;apb_wait_trap;reset_mid_wait;isa_matrix;operand_corner_matrix;csr_state_matrix;interrupt_before_after_retire;interrupt_during_apb_wait;interrupt_mask_pending_enable;apb_wait_depth_matrix;apb_reset_phase_matrix;apb_access_legality_matrix;dma_length_bank_matrix;dma_completion_pressure_irq;dma_tag_reuse_recovery;power_active_dma_matrix;power_completion_pending_matrix;c_initialized_data_sections;c_abi_stack_call_matrix;rv32_decode_legality_matrix;rv32_control_flow_boundary_matrix;rv32_sram_boundary_fault_matrix;csr_illegal_mask_alignment_matrix;irq_trap_priority_matrix;irq_level_mret_matrix;reset_irq_handler_matrix;apb_atomicity_wait_error_matrix;firmware_completion_mode_error_power_matrix,same scenario transaction/retirement window
control_fault,jalr_bit0_clear,1,1,rv32_control_flow_boundary_matrix,same scenario transaction/retirement window
control_fault,jal_misaligned_trap,1,1,rv32_control_flow_boundary_matrix,same scenario transaction/retirement window
control_fault,branch_misaligned_trap,1,2,rv32_control_flow_boundary_matrix;rv32_sram_boundary_fault_matrix,same scenario transaction/retirement window
control_fault,invalid_load_trap,1,1,rv32_decode_legality_matrix,same scenario transaction/retirement window
control_fault,invalid_store_trap,1,1,rv32_decode_legality_matrix,same scenario transaction/retirement window
control_fault,sram_fault,1,1,rv32_sram_boundary_fault_matrix,same scenario transaction/retirement window
interrupt_state,irq_idle_boundary,1,11,interrupt_dma;interrupt_before_after_retire;interrupt_during_apb_wait;interrupt_mask_pending_enable;dma_completion_pressure_irq;power_active_dma_matrix;power_completion_pending_matrix;irq_trap_priority_matrix;irq_level_mret_matrix;reset_irq_handler_matrix;firmware_completion_mode_error_power_matrix,same scenario transaction/retirement window
interrupt_state,irq_apb_wait,1,1,interrupt_during_apb_wait,same scenario transaction/retirement window
interrupt_state,irq_masked_enable,1,1,interrupt_mask_pending_enable,same scenario transaction/retirement window
interrupt_state,irq_over_ecall,1,1,irq_trap_priority_matrix,same scenario transaction/retirement window
interrupt_state,irq_held_mret,1,1,irq_level_mret_matrix,same scenario transaction/retirement window
interrupt_state,irq_completion_pending,1,8,interrupt_dma;interrupt_before_after_retire;interrupt_during_apb_wait;interrupt_mask_pending_enable;dma_completion_pressure_irq;power_active_dma_matrix;power_completion_pending_matrix;firmware_completion_mode_error_power_matrix,same scenario transaction/retirement window
interrupt_state,reset_handler,1,1,reset_irq_handler_matrix,same scenario transaction/retirement window
interrupt_state,reset_apb,1,2,reset_mid_wait;apb_reset_phase_matrix,same scenario transaction/retirement window
recovery_matrix,poll_success_run,1,8,polling_dma;back_to_back;queue_full_recovery;sleep_resume;reset_mid_wait;apb_reset_phase_matrix;dma_length_bank_matrix;dma_tag_reuse_recovery,same scenario transaction/retirement window
recovery_matrix,irq_success_run,1,8,interrupt_dma;interrupt_before_after_retire;interrupt_during_apb_wait;interrupt_mask_pending_enable;dma_completion_pressure_irq;power_active_dma_matrix;power_completion_pending_matrix;firmware_completion_mode_error_power_matrix,same scenario transaction/retirement window
recovery_matrix,poll_timeout_run,1,4,queue_full_recovery;timeout_handler;dma_length_bank_matrix;dma_tag_reuse_recovery,same scenario transaction/retirement window
recovery_matrix,irq_timeout_run,1,1,dma_completion_pressure_irq,same scenario transaction/retirement window
recovery_matrix,poll_parity_run,1,1,parity_error,same scenario transaction/retirement window
recovery_matrix,irq_parity_sleep,0,0,,same scenario transaction/retirement window
recovery_matrix,poll_invalid_deep,1,1,invalid_source,same scenario transaction/retirement window
recovery_matrix,irq_invalid_deep,0,0,,same scenario transaction/retirement window
